mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
40	40	159/2	159/2	0.5	3/8	3/8	2/4	2	1	i.V(6){	e	i		V(6)	V			6			{	M	1	1	1, 5, -3		1	1
41	41	80	80	1.0	0	0	2/4	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
41	41	81	81	0.75	1/4	1/4	2/4	2	1	V6	e	i		V6	V		6					M	1	1	5, 2, 1		1	5
41	41	327/4	327/4	0.25	7/16	7/16	2/4	2	1	viio6/VI	e	i		viio6/VI	vii	o	6		VI			o	1	1	-2, -5, 1		1	-2
42	42	82	82	0.5	0	0	2/4	2	1	#viio6(2)/V	e	i		#viio6(2)/V	#vii	o	6	2	V			o	1	1	3, 0, 1		6	3
42	42	165/2	165/2	1.0	1/8	1/8	2/4	2	1	#viio6/V	e	i		#viio6/V	#vii	o	6		V			o	1	1	3, 0, 6		6	3
42	42	167/2	167/2	0.5	3/8	3/8	2/4	2	1	III.iio6	e	III		iio6	ii	o	6					o	1	0	-1, -4, 2		2	-1
43	43	84	84	0.5	0	0	2/4	2	1	I6(9)	e	III		I6(9)	I		6	9				M	1	0	4, 1, 0	2	0	4
43	43	169/2	169/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
43	43	85	85	0.5	1/4	1/4	2/4	2	1	V43	e	III		V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
43	43	171/2	171/2	0.25	3/8	3/8	2/4	2	1	V43(4)	e	III		V43(4)	V		43	4				Mm7	1	0	2, -1, 1, 0		1	2
43	43	343/4	343/4	0.75	7/16	7/16	2/4	2	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
44	44	173/2	173/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
44	44	87	87	1.5	1/4	1/4	2/4	2	1	V[V|HC}	e	III	V	V	V					HC	}	M	1	0	1, 5, 2		1	1
45	45	88	88	0.0	0	0	2/4	2	1	{	e	III	V								{		1	0				
45	45	177/2	177/2	0.5	1/8	1/8	2/4	2	1	V(64)	e	III	V	V(64)	V			64				M	1	0	1, 0, 4		1	1
45	45	89	89	0.5	1/4	1/4	2/4	2	1	V	e	III	V	V	V							M	1	0	1, 5, 2		1	1
45	45	179/2	179/2	0.5	3/8	3/8	2/4	2	1	viio64/V	e	III	V	viio64/V	vii	o	64		V			o	1	0	0, 6, 3		6	0
46	46	90	90	2.0	0	0	2/4	2	1	V]	e	III	V	V	V							M	1	0	1, 5, 2		1	1
47	47	92	92	0.5	0	0	2/4	2	1	V2	e	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
47	47	185/2	185/2	0.5	1/8	1/8	2/4	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
47	47	93	93	0.75	1/4	1/4	2/4	2	1	ii7	e	III		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
47	47	375/4	375/4	1.25	7/16	7/16	2/4	2	1	V7	e	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
48	48	94	94	0.0	0	0	2/4	2	1	}	e	III									}		1	0				
48	48	95	95	1.0	1/4	1/4	2/4	2	1	I|PAC	e	III		I	I					PAC		M	1	0	0, 4, 1		0	0
