mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	61									9	
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	62									9	
5	5	9	9	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	63									9	
5	5	37/4	37/4	0.75	5/16	5/16	Chord	2/4	2	1	3/16	1/8	3/2	64										
5	5	8	8	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	65										
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	66										
6	6	10	10	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	67									8	
6	6	41/4	41/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16	1/8	3/2	68		articAccentAbove								
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	69									10	
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	70									10	
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	71									10	
6	6	10	10	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	72										
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	73										
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	74									11	
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	75									11	
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	76									11	
6	6	11	11	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	77									11	
6	6	45/4	45/4	0.75	5/16	5/16	Chord	2/4	2	1	3/16	1/8	3/2	78										
6	6	10	10	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	79										
6	6	11	11	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	80										
7	7	12	12	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	81									10	
7	7	49/4	49/4	0.0	1/16	1/16	Spanner	2/4	1	1	0													1
7	7	49/4	49/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16	1/8	3/2	82		articAccentAbove								1
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	83									12	1
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	84									12	1
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	85									12	1
7	7	12	12	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	86										1
7	7	13	13	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	87										1
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	88									13	
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	89									13	
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	90									13	
7	7	13	13	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	91									13	
7	7	53/4	53/4	0.75	5/16	5/16	Chord	2/4	2	1	3/16	1/8	3/2	92										
7	7	12	12	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	93										
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	94										
8	8	14	14	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	95									12	1
8	8	57/4	57/4	0.75	1/16	1/16	Chord	2/4	1	1	3/16	1/8	3/2	96										1
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	97									14	1
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	98										1
8	8	63/4	63/4	0.0	7/16	7/16	Spanner	2/4	1	1	0													
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	99										
8	8	14	14	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	100										
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	101										
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	102									15	
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	103									15	
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	104									15	
8	8	15	15	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	105									15	
8	8	61/4	61/4	0.75	5/16	5/16	Chord	2/4	2	1	3/16	1/8	3/2	106										
8	8	14	14	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	107										
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	108										
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0				pp									
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	109									16	
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	110									16	
9	9	17	17	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	111										
9	9	17	17	0.25	1/4	1/4	Chord	2/4	1	3	1/16	1/16	1	112										
9	9	69/4	69/4	0.5	5/16	5/16	Chord	2/4	1	3	1/8	1/8	1	113										
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	3	1/16	1/16	1	114										
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	115									17	
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	116									17	
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	117									17	
9	9	17	17	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	118									17	
9	9	69/4	69/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	119									17	
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	120									17	
9	9	16	16	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	121										
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	122										
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	123										
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	124									18	
10	10	19	19	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	125										
10	10	77/4	77/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8	1/8	1	126										
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	127										
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	128									17	
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	129									17	
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	130									17	
10	10	19	19	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	131									17	
10	10	77/4	77/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	132									17	
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	133										
10	10	18	18	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	134										
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	135										
11	11	20	20	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	136										
11	11	21	21	0.0	1/4	1/4	Spanner	2/4	1	1	0													2
11	11	21	21	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	137									19	2
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	138										2
11	11	85/4	85/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8	1/8	1	139										2
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	140										2
11	11	20	20	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	141									20	
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	142									20	
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	143									20	
11	11	21	21	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	144									20	
11	11	20	20	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	145										
11	11	21	21	0.25	1/4	1/4	Chord	2/4	2	2	1/16	1/16	1	146										
11	11	85/4	85/4	0.5	5/16	5/16	Chord	2/4	2	2	1/8	1/8	1	147										
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16	1/16	1	148										
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	149									19	2
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	150									19	2
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	151									19	2
12	12	23	23	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	152										2
12	12	22	22	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	153										2
12	12	23	23	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	154										2
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	155									20	
12	12	23	23	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	156									20	
12	12	93/4	93/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	157									20	
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	158										
12	12	22	22	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	159										
13	13	24	24	0.0	0	0	Spanner	2/4	1	1	0													
13	13	24	24	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	160									21	
13	13	25	25	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	161									21	
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	162										
13	13	101/4	101/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8	1/8	1	163										
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	164										
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	165									22	
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	166									22	
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	167									22	
13	13	25	25	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	168									22	
13	13	101/4	101/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	169									22	
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	170									22	
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	171										
14	14	26	26	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	172										
14	14	27	27	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	173									23	
14	14	27	27	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	174										
14	14	109/4	109/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8	1/8	1	175										
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	176										
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	177									22	
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	178									22	
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	179									22	
14	14	27	27	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	180									22	
14	14	109/4	109/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	181									22	
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	182										
14	14	26	26	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	183										
14	14	27	27	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	184										
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	185										
15	15	29	29	0.0	1/4	1/4	Spanner	2/4	1	1	0													3
15	15	29	29	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	186									24	3
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	187										3
15	15	117/4	117/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8	1/8	1	188										3
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	189										3
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	190									25	
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	191									25	
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	192									25	
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	193									25	
15	15	28	28	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	194										
15	15	29	29	0.25	1/4	1/4	Chord	2/4	2	2	1/16	1/16	1	195										
15	15	117/4	117/4	0.5	5/16	5/16	Chord	2/4	2	2	1/8	1/8	1	196										
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16	1/16	1	197										
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	198									24	3
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	199									24	3
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	200									24	3
16	16	31	31	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	201										3
16	16	30	30	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	202										3
16	16	31	31	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	203										3
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	204									25	
16	16	31	31	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	205									25	
16	16	125/4	125/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	206									25	
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	207										
16	16	30	30	1.0	0	0	Chord	2/4	2	2	1/4	1/4	1	208										
17	17	32	32	0.0	0	0	Spanner	2/4	1	1	0													
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	209										
17	17	33	33	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	210										
17	17	32	32	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	211										
17	17	33	33	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	212										
17	17	33	33	1.0	1/4	1/4	Chord	2/4	1	3	1/4	1/4	1	213										
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	4	1/8	1/8	1	214										
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	4	1/8	1/8	1	215										
17	17	32	32	0.0	0	0	Dynamic	2/4	2	1	0				pp									
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	216									26	
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	217									26	
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	218									26	
17	17	33	33	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	219									26	
17	17	133/4	133/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	220									26	
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	221									26	
18	18	34	34	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	222										
18	18	34	34	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	223										
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	224										
18	18	35	35	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	225										
18	18	34	34	1.0	0	0	Chord	2/4	1	3	1/4	1/4	1	226										
18	18	34	34	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	227									26	
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	228									26	
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	229									26	
18	18	35	35	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	230									26	
18	18	141/4	141/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	231									26	
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	232									26	
19	19	36	36	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	233										
19	19	37	37	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	234										
19	19	36	36	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	235										
19	19	37	37	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	236										
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	3	1/8	1/8	1	237										
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8	1/8	1	238										
19	19	36	36	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	239									26	
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	240									26	
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	241									26	
19	19	37	37	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	242									26	
19	19	149/4	149/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	243									26	
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	244									26	
20	20	38	38	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	245										
20	20	39	39	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	246										
20	20	38	38	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	247										
20	20	39	39	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	248										
20	20	38	38	0.5	0	0	Chord	2/4	1	3	1/8	1/8	1	249										
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	1	3	1/8	1/8	1	250										
20	20	38	38	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	251									26	
20	20	153/4	153/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	252									26	
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	253									26	
20	20	39	39	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	254									26	
20	20	157/4	157/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	255									26	
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	256										
21	21	40	40	0.0	0	0	Dynamic	2/4	1	1	0				p									
21	21	40	40	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	257									27	
21	21	41	41	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	258									27	
21	21	40	40	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	259										
21	21	41	41	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	260										
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	261										
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	262										
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	263										
21	21	41	41	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	264										
21	21	165/4	165/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	265										
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	266										
21	21	40	40	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	267									28	
22	22	42	42	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	268									27	
22	22	43	43	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	269									27	
22	22	42	42	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	270										
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	271										
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	272										
22	22	43	43	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	273										
22	22	173/4	173/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8	1/8	1	274										
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	275										
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	276										
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	277										
22	22	43	43	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	278										
22	22	173/4	173/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8	1/8	1	279										
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	280										
