mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	247		articStaccatoAbove					
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	248		articStaccatoAbove					
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	249		articStaccatoAbove					
22	22	43	43	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	250		articStaccatoBelow					
22	22	173/4	173/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	251		articStaccatoBelow					
22	22	87/2	87/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	252		articStaccatoBelow					
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	253		articStaccatoBelow					
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	254		articStaccatoAbove					
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	255		articStaccatoAbove					
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	256		articStaccatoAbove					
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	257		articStaccatoAbove					
23	23	44	44	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
23	23	44	44	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	258						28	
23	23	45	45	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	259							
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	260		articStaccatoAbove					
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	261		articStaccatoAbove					
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	262		articStaccatoAbove					
23	23	44	44	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	263						29	
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	264							
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	265		articStaccatoBelow					
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	266		articStaccatoBelow					
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	267		articStaccatoAbove					
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	268		articStaccatoAbove					
24	24	46	46	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	269		articStaccatoAbove					
24	24	185/4	185/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	270		articStaccatoAbove					
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	271		articStaccatoAbove					
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	272		articStaccatoAbove					
24	24	47	47	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	273		articStaccatoBelow					
24	24	189/4	189/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	274		articStaccatoBelow					
24	24	95/2	95/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	275		articStaccatoBelow					
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	276		articStaccatoBelow					
24	24	46	46	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	277		articStaccatoAbove					
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	278		articStaccatoAbove					
24	24	47	47	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	279		articStaccatoAbove					
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	280		articStaccatoAbove					
25	25	48	48	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	281						30	
25	25	49	49	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	282						30	
25	25	197/4	197/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	283						30	
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	284						30	
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	285							
25	25	48	48	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	286						31	
25	25	193/4	193/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	287							
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	288		articStaccatoBelow					
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	289		articStaccatoBelow					
25	25	49	49	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	290							
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	291							
25	25	49	49	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	292		articAccentBelow					
26	26	50	50	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	293						32	
26	26	51	51	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	294						32	
26	26	205/4	205/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	295						32	
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	296						32	
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	297							
26	26	50	50	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	298						33	
26	26	201/4	201/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	299							
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	300		articStaccatoBelow					
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	301		articStaccatoBelow					
26	26	51	51	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	302							
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	303							
26	26	50	50	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	304							
26	26	51	51	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	305		articAccentBelow					
27	27	52	52	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	306							
27	27	53	53	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	307							
27	27	52	52	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	308						34	
27	27	209/4	209/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	309							
27	27	53	53	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	310						35	
27	27	213/4	213/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	311							
27	27	52	52	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	312							
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	313		articStaccatoAbove					
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	314		articStaccatoAbove					
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	315						36	
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	316						36	
27	27	53	53	0.0	1/4	1/4	Dynamic	2/4	2	2	0				sf						
27	27	53	53	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	317							
28	28	54	54	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	318							
28	28	54	54	0.0	0	0	Spanner	2/4	2	1	0									36	1
28	28	54	54	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	319						36	1
28	28	217/4	217/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	320						36	1
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	321						36	1
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	322						36	1
28	28	55	55	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	323						36	1
28	28	221/4	221/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	324						36	1
28	28	111/2	111/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	325						36	1
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	326							1
28	28	54	54	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	327							1
29	29	56	56	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
29	29	56	56	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	328						37	
29	29	57	57	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	329							
29	29	229/4	229/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	330		articStaccatoAbove					
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	331		articStaccatoAbove					
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	332		articStaccatoAbove					
29	29	56	56	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	333						38	
29	29	225/4	225/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	334							
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	335		articStaccatoBelow					
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	336		articStaccatoBelow					
29	29	56	56	0.0	0	0	Spanner	2/4	2	1	0										
29	29	57	57	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	337		articStaccatoAbove					
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	338		articStaccatoAbove					
30	30	58	58	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	339		articAccentStaccatoAbove					
30	30	233/4	233/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	340		articStaccatoAbove					
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	341		articStaccatoAbove					
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	342		articStaccatoAbove					
30	30	59	59	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	343		articAccentStaccatoAbove					
30	30	237/4	237/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	344		articStaccatoAbove					
30	30	119/2	119/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	345		articStaccatoAbove					
30	30	239/4	239/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	346		articStaccatoAbove					
30	30	58	58	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	347		articStaccatoAbove					
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	348		articStaccatoAbove					
30	30	59	59	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	349		articStaccatoAbove					
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	350		articStaccatoAbove					
31	31	60	60	0.0	0	0	Dynamic	2/4	1	1	0				sfp						
31	31	60	60	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	351						39	
31	31	61	61	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	352							
31	31	245/4	245/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	353		articStaccatoAbove					
31	31	123/2	123/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	354		articStaccatoAbove					
31	31	247/4	247/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	355		articStaccatoAbove					
31	31	60	60	0.25	0	0	Chord	2/4	1	2	1/16	1/16	1	356						40	
31	31	241/4	241/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16	1/16	1	357							
31	31	121/2	121/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	358		articStaccatoBelow					
31	31	243/4	243/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	359		articStaccatoBelow					
31	31	60	60	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	360							
31	31	61	61	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	361		articStaccatoAbove					
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	362		articStaccatoAbove					
32	31	62	62	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	363		articAccentStaccatoAbove					
32	31	249/4	249/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	364		articStaccatoAbove					
32	31	125/2	125/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	365		articStaccatoAbove					
32	31	251/4	251/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	366		articStaccatoAbove					
32	31	63	63	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	367							
32	31	62	62	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	368		articStaccatoAbove					
32	31	125/2	125/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	369		articStaccatoAbove					
32	31	63	63	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	370							
