mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
15	13	37	37	0.0	0	0	Spanner	3/4	1	1	0										0	
15	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	95		articMarcatoAbove					0	
15	13	38	38	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	96		articMarcatoAbove					0	
15	13	39	39	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	97		articMarcatoAbove					0	
15	13	37	37	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	98								
15	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	99								
15	13	38	38	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	100								
15	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	101								
15	13	39	39	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	102								
15	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	103								
16	14	40	40	0.0	0	0	Spanner	3/4	1	1	0											
16	14	40	40	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	104		articMarcatoAbove						
16	14	41	41	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	105		articMarcatoAbove						
16	14	42	42	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	106		articMarcatoAbove						
16	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	107		articMarcatoAbove						
16	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	108		articMarcatoAbove						
16	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	109		articMarcatoAbove						
17	15	43	43	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	110		articMarcatoAbove						
17	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	111								
17	15	44	44	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	112		articMarcatoAbove						
17	15	45	45	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	113		articMarcatoAbove						
17	15	43	43	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	114		articMarcatoAbove						
17	15	175/4	175/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	115								
17	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	116		articMarcatoAbove						
