mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
17	16	61/2	61/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	149						
17	16	63/2	63/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	150						
18	17	65/2	65/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	151				15		
18	17	67/2	67/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	152				15		
18	17	34	34	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	153				15		
18	17	33	33	0.0		1/8	1/8	Dynamic	2/4	1	2	0				sf					
18	17	33	33	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	154						
18	17	34	34	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	155						
18	17	33	33	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	156						
18	17	34	34	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	157						
18	17	65/2	65/2	2.0		0	0	Chord	2/4	2	2	1/2	1/2	1	158						
19	18	69/2	69/2	0.0		0	0	Dynamic	2/4	1	1	0				p			15		
19	18	69/2	69/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	159				15		
19	18	35	35	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	160				15		
19	18	71/2	71/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	161				15		
19	18	36	36	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	162						
19	18	35	35	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	163						
19	18	36	36	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	164						
19	18	35	35	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	165						
19	18	36	36	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	166						
19	18	69/2	69/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	167						
19	18	71/2	71/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	168						
20	19	73/2	73/2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	169				16		
20	19	38	38	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	170				16		
20	19	37	37	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	171						
20	19	38	38	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	172						
20	19	37	37	0.5		1/8	1/8	Chord	2/4	1	3	1/8	1/8	1	173						
20	19	75/2	75/2	0.5		1/4	1/4	Chord	2/4	1	3	1/8	1/8	1	174						
20	19	38	38	0.5		3/8	3/8	Chord	2/4	1	3	1/8	1/8	1	175						
20	19	37	37	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	176						
20	19	38	38	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	177						
20	19	73/2	73/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	178						
20	19	37	37	0.5		1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	179				17		
20	19	75/2	75/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	180				17		
20	19	38	38	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	181				17		
21	20	77/2	77/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	182						
21	20	40	40	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	183						
21	20	39	39	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	184						
21	20	39	39	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	185						
21	20	40	40	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	186						
21	20	77/2	77/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	187						
22	21	81/2	81/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	188				18		
22	21	41	41	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	189				18		
22	21	83/2	83/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	190				18		
22	21	42	42	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	191				18		
22	21	41	41	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	192						
22	21	42	42	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	193						
22	21	81/2	81/2	0.0		0	0	Spanner	2/4	2	1	0								1	
22	21	41	41	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	194					1	
22	21	42	42	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	195					1	
22	21	81/2	81/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	196					1	
22	21	83/2	83/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	197					1	
23	22	85/2	85/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	198				18		
23	22	43	43	0.0		1/8	1/8	StaffText	2/4	1	1	0						"<i><font size=""12""/>rit.</i>"	18		
23	22	43	43	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	199				18		
23	22	87/2	87/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	200				18		
23	22	44	44	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	201				18		
23	22	43	43	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	202						
23	22	44	44	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	203						
23	22	43	43	0.0		1/8	1/8	Spanner	2/4	2	1	0									
23	22	43	43	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	204						
23	22	44	44	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	205						
23	22	85/2	85/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	206						
23	22	87/2	87/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	207						
24	23	89/2	89/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	208				18		
24	23	91/2	91/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	209				18		
24	23	45	45	1.0		1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	210						
24	23	46	46	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	211						
24	23	45	45	1.0		1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	212						
24	23	46	46	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	213						
24	23	89/2	89/2	1.0		0	0	Chord	2/4	2	2	1/4	1/4	1	214						
24	23	91/2	91/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	215						
25	24		93/2	1.0	1	0	0	Chord	2/4	1	1	1/4	1/4	1	216						
25	24		48	0.5	1	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	217						
25	24		47	1.0	1	1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	218						
25	24		47	1.0	1	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	219						
25	24		48	0.5	1	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	220						
25	24		93/2	1.0	1	0	0	Chord	2/4	2	2	1/4	1/4	1	221						
26	24	93/2	97/2	1.0	2	0	0	Chord	2/4	1	1	1/4	1/4	1	222						
26	24	48	50	0.5	2	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	223						
26	24	47	49	1.0	2	1/8	1/8	Chord	2/4	1	2	1/4	1/4	1	224						
26	24	47	49	1.0	2	1/8	1/8	Chord	2/4	2	1	1/4	1/4	1	225						
26	24	48	50	0.5	2	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	226						
26	24	93/2	97/2	1.0	2	0	0	Chord	2/4	2	2	1/4	1/4	1	227						
27	25	97/2	101/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	228		articAccentBelow		19		
27	25	49	51	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	229						
27	25	99/2	103/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	230		articAccentBelow		20		
27	25	50	52	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	231						
27	25	97/2	101/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	232				21		
27	25	49	51	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	233						
27	25	99/2	103/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	234				22		
27	25	50	52	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	235						
28	26	101/2	105/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	236				23		
28	26	51	53	1.0		1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	237				23		
28	26	52	54	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	238				23		
28	26	101/2	105/2	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	239						
28	26	51	53	0.5		1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	240						
28	26	103/2	107/2	0.5		1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	241						
28	26	52	54	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	242						
28	26	51	53	1.5		1/8	1/8	Chord	2/4	2	1	3/8	1/4	3/2	243						
28	26	101/2	105/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	244				24		
28	26	51	53	0.5		1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	245				24		
28	26	103/2	107/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	246				24		
28	26	52	54	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	247				24		
29	27	105/2	109/2	1.0		0	0	Chord	2/4	1	1	1/4	1/4	1	248				23		
29	27	107/2	111/2	1.0		1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	249				23		
29	27	105/2	109/2	1.0		0	0	Chord	2/4	1	2	1/4	1/4	1	250						
29	27	107/2	111/2	1.0		1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	251						
29	27	105/2	109/2	1.0		0	0	Chord	2/4	2	1	1/4	1/4	1	252						
29	27	107/2	111/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	253						
29	27	105/2	109/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	254				24		
29	27	53	55	0.5		1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	255				24		
29	27	107/2	111/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	256				24		
29	27	54	56	0.5		3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	257				24		
30	28	109/2	113/2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	258						
30	28	56	58	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	259						
30	28	109/2	113/2	1.5		0	0	Chord	2/4	1	2	3/8	1/4	3/2	260						
30	28	109/2	113/2	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	261						
30	28	56	58	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	262						
30	28	109/2	113/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	263				24		
30	28	55	57	0.5		1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	264				24		
30	28	111/2	115/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	265						
31	29	113/2	117/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	266		articAccentAbove		25		
31	29	57	59	0.5		1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	267						
31	29	115/2	119/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	268		articAccentAbove		26		
31	29	58	60	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	269						
31	29	113/2	117/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	270		articAccentAbove		27		
31	29	57	59	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	271						
31	29	115/2	119/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	272		articAccentAbove		28		
31	29	58	60	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	273						
32	30	117/2	121/2	0.0		0	0	Spanner	2/4	1	1	0									0
32	30	117/2	121/2	0.5		0	0	Chord	2/4	1	1	1/8	1/8	1	274				29		0
32	30	59	61	1.0		1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	275				29		0
32	30	60	62	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	276				29		0
32	30	117/2	121/2	0.5		0	0	Chord	2/4	1	2	1/8	1/8	1	277						0
32	30	59	61	0.5		1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	278						0
32	30	119/2	123/2	0.5		1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	279						0
32	30	60	62	0.5		3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	280						0
32	30	59	61	1.5		1/8	1/8	Chord	2/4	2	1	3/8	1/4	3/2	281						
32	30	117/2	121/2	0.5		0	0	Chord	2/4	2	2	1/8	1/8	1	282				30		
