mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
10	9	33/4	33/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	73													
10	9	17/2	17/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	74													
10	9	35/4	35/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	75													
10	9	9	9	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	76													
11	10	37/4	37/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	77									7				
11	10	19/2	19/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	78									7				
11	10	10	10	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	79									7				
11	10	19/2	19/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	80													
11	10	39/4	39/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	81													
11	10	37/4	37/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	82													
11	10	19/2	19/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	83													
11	10	39/4	39/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	84													
11	10	10	10	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	85													
11	10	19/2	19/2	0.75	1/16	1/16	Chord	2/8	2	2	3/16	1/8	3/2	86													
12	11	41/4	41/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	87									7				
12	11	21/2	21/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	88									7				
12	11	11	11	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	89									7				
12	11	21/2	21/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	90													
12	11	43/4	43/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	91													
12	11	41/4	41/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	92													
12	11	21/2	21/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	93													
12	11	43/4	43/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	94													
12	11	11	11	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	95													
13	12	45/4	45/4	0.0	0	0	Spanner	2/8	1	1	0												7				1
13	12	45/4	45/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	96									7				1
13	12	23/2	23/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	97									7				1
13	12	12	12	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	98									7				1
13	12	23/2	23/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	99													1
13	12	47/4	47/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	100													1
13	12	45/4	45/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	101													
13	12	23/2	23/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	102													
13	12	47/4	47/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	103													
13	12	12	12	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	104													
14	13	49/4	49/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	105									7				1
14	13	25/2	25/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	106									7				1
14	13	13	13	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	107									7				1
14	13	25/2	25/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	108													1
14	13	51/4	51/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	109													1
14	13	49/4	49/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	110													
14	13	25/2	25/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	111													
14	13	51/4	51/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	112													
14	13	13	13	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	113													
15	14	53/4	53/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	114									7				1
15	14	27/2	27/2	0.0	1/16	1/16	Spanner	2/8	1	1	0												7				
15	14	27/2	27/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	115									7				
15	14	14	14	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	116									7				
15	14	27/2	27/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	117													
15	14	55/4	55/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	118													
15	14	53/4	53/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	119													
15	14	27/2	27/2	0.75	1/16	1/16	Chord	2/8	2	1	3/16	1/8	3/2	120													
15	14	27/2	27/2	0.25	1/16	1/16	Chord	2/8	2	2	1/16	1/16	1	121													
15	14	55/4	55/4	0.25	1/8	1/8	Chord	2/8	2	2	1/16	1/16	1	122													
15	14	14	14	0.25	3/16	3/16	Chord	2/8	2	2	1/16	1/16	1	123													
16	15	57/4	57/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	124									7				
16	15	29/2	29/2	0.0	1/16	1/16	StaffText	2/8	1	1	0						ritard.						7				
16	15	29/2	29/2	0.75	1/16	1/16	Chord	2/8	1	1	3/16	1/8	3/2	125									7				
16	15	29/2	29/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	126													
16	15	59/4	59/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	127													
16	15	57/4	57/4	0.0	0	0	Spanner	2/8	2	1	0													1	1		
16	15	57/4	57/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	128										1	1		
16	15	29/2	29/2	0.75	1/16	1/16	Chord	2/8	2	1	3/16	1/8	3/2	129										1	1		
16	15	29/2	29/2	0.25	1/16	1/16	Chord	2/8	2	2	1/16	1/16	1	130										1	1		
16	15	59/4	59/4	0.25	1/8	1/8	Chord	2/8	2	2	1/16	1/16	1	131										1	1		
16	15	15	15	0.25	3/16	3/16	Chord	2/8	2	2	1/16	1/16	1	132										1	1		
16	15	59/4	59/4	0.5	1/8	1/8	Chord	2/8	2	3	1/8	1/8	1	133										1	1		
17	16	61/4	61/4	0.5	0	0	Chord	2/8	1	1	1/8	1/8	1	134													
17	16	16	16	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	135									8				
17	16	61/4	61/4	0.5	0	0	Chord	2/8	2	1	1/8	1/8	1	136										1	1		
17	16	63/4	63/4	0.0	1/8	1/8	Spanner	2/8	2	1	0																
18	17	65/4	65/4	0.0	0	0	Spanner	2/8	1	1	0												8			0	
18	17	65/4	65/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	137									8			0	
18	17	33/2	33/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	138									8			0	
18	17	17	17	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	139									8			0	
18	17	33/2	33/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	140												0	
18	17	67/4	67/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	141												0	
18	17	65/4	65/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	142													
18	17	33/2	33/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	143													
18	17	67/4	67/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	144													
18	17	17	17	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	145													
19	18	69/4	69/4	0.0	0	0	StaffText	2/8	1	1	0						ritard.						8			0	
19	18	69/4	69/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	146									8			0	
19	18	35/2	35/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	147									8			0	
19	18	18	18	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	148									8			0	
19	18	35/2	35/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	149												0	
19	18	71/4	71/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	150												0	
19	18	69/4	69/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	151													
19	18	35/2	35/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	152													
19	18	71/4	71/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	153													
19	18	18	18	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	154													
20	19	73/4	73/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	155									8			0	
20	19	37/2	37/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	156									8			0	
20	19	75/4	75/4	0.0	1/8	1/8	Spanner	2/8	1	1	0												8				
20	19	19	19	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	157									8				
20	19	37/2	37/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	158													
20	19	75/4	75/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	159													
20	19	73/4	73/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	160													
20	19	37/2	37/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	161													
20	19	75/4	75/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	162													
20	19	19	19	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	163													
21	20	77/4	77/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	164									8				
21	20	39/2	39/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	165									8				
21	20	20	20	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	166									8				
21	20	39/2	39/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	167													
21	20	79/4	79/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	168													
21	20	77/4	77/4	0.0	0	0	Spanner	2/8	2	1	0													2	2		
21	20	77/4	77/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	169										2	2		
21	20	39/2	39/2	0.75	1/16	1/16	Chord	2/8	2	1	3/16	1/8	3/2	170										2	2		
21	20	39/2	39/2	0.25	1/16	1/16	Chord	2/8	2	2	1/16	1/16	1	171										2	2		
21	20	79/4	79/4	0.5	1/8	1/8	Chord	2/8	2	2	1/8	1/8	1	172										2	2		
22	21	81/4	81/4	0.5	0	0	Chord	2/8	1	1	1/8	1/8	1	173													
22	21	21	21	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	174									9				
22	21	81/4	81/4	0.5	0	0	Chord	2/8	2	1	1/8	1/8	1	175										2	2		
22	21	83/4	83/4	0.0	1/8	1/8	Spanner	2/8	2	1	0																
23	22	85/4	85/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	176									9				
23	22	43/2	43/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	177									9				
23	22	22	22	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	178									9				
23	22	43/2	43/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	179													
23	22	87/4	87/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	180													
23	22	85/4	85/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	181													
23	22	43/2	43/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	182													
23	22	87/4	87/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	183													
23	22	22	22	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	184													
24	23	89/4	89/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	185									9				
24	23	45/2	45/2	0.0	1/16	1/16	Spanner	2/8	1	1	0												9				2
24	23	45/2	45/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	186									9				2
24	23	23	23	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	187									9				2
24	23	45/2	45/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	188													2
24	23	91/4	91/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	189													2
24	23	89/4	89/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	190													
24	23	45/2	45/2	0.75	1/16	1/16	Chord	2/8	2	1	3/16	1/8	3/2	191													
24	23	45/2	45/2	0.25	1/16	1/16	Chord	2/8	2	2	1/16	1/16	1	192													
24	23	91/4	91/4	0.25	1/8	1/8	Chord	2/8	2	2	1/16	1/16	1	193													
24	23	23	23	0.25	3/16	3/16	Chord	2/8	2	2	1/16	1/16	1	194													
24	23	91/4	91/4	0.5	1/8	1/8	Chord	2/8	2	3	1/8	1/8	1	195													
25	24	93/4	93/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	196									9				2
25	24	47/2	47/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	197									9				2
25	24	24	24	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	198									9				2
25	24	47/2	47/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	199													2
25	24	95/4	95/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	200													2
25	24	93/4	93/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	201													
25	24	47/2	47/2	0.75	1/16	1/16	Chord	2/8	2	1	3/16	1/8	3/2	202													
25	24	47/2	47/2	0.25	1/16	1/16	Chord	2/8	2	2	1/16	1/16	1	203													
25	24	95/4	95/4	0.25	1/8	1/8	Chord	2/8	2	2	1/16	1/16	1	204													
25	24	24	24	0.25	3/16	3/16	Chord	2/8	2	2	1/16	1/16	1	205													
25	24	95/4	95/4	0.5	1/8	1/8	Chord	2/8	2	3	1/8	1/8	1	206													
26	25	97/4	97/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	207									9				2
26	25	49/2	49/2	0.0	1/16	1/16	Spanner	2/8	1	1	0																
26	25	49/2	49/2	0.25	1/16	1/16	Chord	2/8	1	1	1/16	1/16	1	208													
26	25	25	25	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	209									10				
26	25	49/2	49/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	210													
26	25	99/4	99/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	211													
26	25	97/4	97/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	212													
26	25	49/2	49/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	213													
26	25	99/4	99/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	214													
26	25	25	25	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	215													
27	26	101/4	101/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	216									10				
27	26	51/2	51/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	217									10				
27	26	26	26	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	218									10				
27	26	51/2	51/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	219													
27	26	103/4	103/4	0.375	1/8	1/8	Chord	2/8	1	2	3/32	1/16	3/2	220													
27	26	209/8	209/8	0.125	7/32	7/32	Chord	2/8	1	2	1/32	1/32	1	221													
27	26	101/4	101/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	222													
27	26	51/2	51/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	223													
27	26	103/4	103/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	224													
27	26	26	26	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	225													
28	27	105/4	105/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	226									10				
28	27	53/2	53/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	227									10				
28	27	27	27	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	228									10				
28	27	105/4	105/4	0.25	0	0	Chord	2/8	1	2	1/16	1/16	1	229													
28	27	53/2	53/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	230													
28	27	107/4	107/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	231													
28	27	105/4	105/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	232													
28	27	53/2	53/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	233									11				
28	27	107/4	107/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	234									11				
28	27	27	27	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	235													
29	28	109/4	109/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	236									10				
29	28	55/2	55/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	237									10				
29	28	28	28	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	238									10				
29	28	55/2	55/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	239													
29	28	111/4	111/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	240													
29	28	109/4	109/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	241													
29	28	55/2	55/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	242									12				
29	28	111/4	111/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	243									12				
29	28	28	28	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	244													
30	29	113/4	113/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	245									10				
30	29	57/2	57/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	246									10				
30	29	115/4	115/4	0.0	1/8	1/8	Spanner	2/8	1	1	0												10				3
30	29	29	29	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	247									10				3
30	29	57/2	57/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	248													3
30	29	115/4	115/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	249													3
30	29	113/4	113/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	250													
30	29	57/2	57/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	251									13				
30	29	115/4	115/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	252									13				
30	29	29	29	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	253													
31	30	117/4	117/4	0.25	0	0	Chord	2/8	1	1	1/16	1/16	1	254									10				3
31	30	59/2	59/2	0.5	1/16	1/16	Chord	2/8	1	1	1/8	1/8	1	255									10				3
31	30	30	30	0.25	3/16	3/16	Chord	2/8	1	1	1/16	1/16	1	256									10				3
31	30	59/2	59/2	0.25	1/16	1/16	Chord	2/8	1	2	1/16	1/16	1	257													3
31	30	119/4	119/4	0.5	1/8	1/8	Chord	2/8	1	2	1/8	1/8	1	258													3
31	30	117/4	117/4	0.25	0	0	Chord	2/8	2	1	1/16	1/16	1	259													
31	30	59/2	59/2	0.25	1/16	1/16	Chord	2/8	2	1	1/16	1/16	1	260									14				
31	30	119/4	119/4	0.25	1/8	1/8	Chord	2/8	2	1	1/16	1/16	1	261									14				
31	30	30	30	0.25	3/16	3/16	Chord	2/8	2	1	1/16	1/16	1	262													
