mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
13	10	19	23	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	186									16	6	
13	10	39/2	47/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	187									16	6	
13	10	20	24	0.0		3/8	3/8	Spanner	2/4	2	1	0															
13	10	20	24	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	188											
13	10	37/2	45/2	2.0		0	0	Chord	2/4	2	2	1/2		1/2	1	189											
14	11	41/2	49/2	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	190									17		
14	11	83/4	99/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	191		articStaccatoAbove									
14	11	21	25	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	192									18		
14	11	85/4	101/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	193									18		
14	11	43/2	51/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	194									18		
14	11	22	26	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	195									18		
14	11	41/2	49/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	196									19		
14	11	83/4	99/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	197											
14	11	21	25	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	198											
14	11	43/2	51/2	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	199											
14	11	87/4	103/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	200											
14	11	22	26	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	201											
14	11	89/4	105/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	202											
14	11	41/2	49/2	0.25		0	0	Chord	2/4	2	1	1/16		1/16	1	203											
14	11	83/4	99/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	204											
14	11	21	25	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	205											
14	11	22	26	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	206											
14	11	41/2	49/2	0.25		0	0	Chord	2/4	2	2	1/16		1/16	1	207									20		
14	11	83/4	99/4	0.25		1/16	1/16	Chord	2/4	2	2	1/16		1/16	1	208		articStaccatoBelow									
14	11	21	25	0.25		1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	209									21		
14	11	85/4	101/4	0.25		3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	210									21		
14	11	43/2	51/2	0.5		1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	211											
14	11	22	26	0.5		3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	212									22		
15	12	45/2	53/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	213									18		
15	12	23	27	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	214									18		
15	12	47/2	55/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	215											
15	12	24	28	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	216									23		
15	12	45/2	53/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	217											
15	12	91/4	107/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	218											
15	12	23	27	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	219											
15	12	93/4	109/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	220											
15	12	47/2	55/2	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	221											
15	12	95/4	111/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	222											
15	12	24	28	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	223											
15	12	97/4	113/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	224											
15	12	45/2	53/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	225											
15	12	47/2	55/2	1.0		1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	226											
15	12	45/2	53/2	0.5		0	0	Chord	2/4	2	2	1/8		1/8	1	227									22		
15	12	23	27	0.5		1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	228									22		
15	12	47/2	55/2	1.0		1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	229											
16	13	49/2	57/2	0.0		0	0	Spanner	2/4	1	1	0													23	7	
16	13	49/2	57/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	230									23	7	
16	13	25	29	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	231									23	7	
16	13	51/2	59/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	232									23	7	
16	13	103/4	119/4	0.0		5/16	5/16	Spanner	2/4	1	1	0													23		
16	13	26	30	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	233									23		
16	13	49/2	57/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	234											
16	13	99/4	115/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	235											
16	13	25	29	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	236											
16	13	101/4	117/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	237											
16	13	51/2	59/2	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	238											
16	13	103/4	119/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	239											
16	13	26	30	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	240											
16	13	105/4	121/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	241											
16	13	49/2	57/2	1.5		0	0	Chord	2/4	2	1	3/8		1/4	3/2	242									24		
16	13	26	30	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	243									24		
17	14	53/2	61/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	244									23		
17	14	27	31	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	245									23		
17	14	55/2	63/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	246									23		
17	14	28	32	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	247									23		
17	14	53/2	61/2	0.25		0	0	Chord	2/4	1	2	1/16		1/16	1	248											
17	14	107/4	123/4	0.25		1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	249											
17	14	27	31	0.25		1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	250											
17	14	109/4	125/4	0.25		3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	251											
17	14	55/2	63/2	0.25		1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	252											
17	14	111/4	127/4	0.25		5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	253											
17	14	28	32	0.25		3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	254											
17	14	113/4	129/4	0.25		7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	255											
17	14	53/2	61/2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	256									24		
17	14	27	31	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	257									24		
17	14	55/2	63/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	258									24		
17	14	28	32	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	259									24		
18	15	57/2	65/2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	260									23		
18	15	29	33	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	261									23		
18	15	59/2	67/2	0.0		1/4	1/4	StaffText	2/4	1	1	0							ritardando						23		
