mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	42						
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	43		articAccentBelow				
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	44						0
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	45						0
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	46						
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	47						
8	8	43/2	43/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	48						
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	49						
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	50		articAccentBelow				
8	8	21	21	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	51						0
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	52						
8	8	21	21	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	53						
8	8	22	22	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	54						
9	9	49/2	49/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	55						
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	56						
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	57		articAccentBelow				
9	9	25	25	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	58						
9	9	24	24	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	59						
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	60						
10	10	55/2	55/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	61						
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	62						
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	63		articAccentBelow				
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	64						
10	10	28	28	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	65						
10	10	27	27	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	66						
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	67						
11	11	61/2	61/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	68						
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	69						
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	70		articAccentBelow				
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	71						
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	72						
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	73						
11	11	30	30	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	74						
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	75						
12	12	67/2	67/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	76						
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	77						
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	78		articAccentAbove				
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	79						
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	80						
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	81						
12	12	33	33	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	82						
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	83						
13	13	73/2	73/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	84						
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	85						
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	86		articAccentAbove				
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	87						1
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	88						
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	89						
13	13	36	36	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	90						
14	14	79/2	79/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	91						
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	92						
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	93		articAccentBelow				
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	94						2
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	95						
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	96						
14	14	39	39	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	97						
15	15	85/2	85/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	98						
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	99						
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	100		articAccentBelow				
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	101						3
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	102						
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	103						
15	15	42	42	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	104						
16	16	91/2	91/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	105						
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	106						
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	107		articAccentBelow				
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	108						
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	109						
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	110						
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0				ff					
17	17	97/2	97/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	111						
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	112						
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	113		articAccentAbove				
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	114						
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	115						
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	116						
18	18	103/2	103/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	117						
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	118						
18	18	53	53	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	119		articAccentBelow				
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	120						
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	121						
18	18	52	52	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	122						
19	19	109/2	109/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	123						
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	124						
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	125		articAccentBelow				
19	19	54	54	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	126						
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	127						
19	19	55	55	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	128						
20	20	115/2	115/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	129						
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	130						
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	131		articAccentBelow				
20	20	57	57	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	132						
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	133						
20	20	58	58	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	134						
21	21	121/2	121/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	135						
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	136						
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	137		articAccentBelow				
21	21	60	60	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	138						
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	139						
21	21	61	61	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	140						
22	22	127/2	127/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	141						
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	142						
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	143		articAccentBelow				
22	22	63	63	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	144						
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	145						
22	22	64	64	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	146						
23	23	133/2	133/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	147						
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	148						
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	149		articAccentBelow				
23	23	66	66	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	150						
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	151						
23	23	67	67	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	152						
24	24	139/2	139/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4	1/4	1	153						
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	154						
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	155		articAccentBelow				
24	24	69	69	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	156						
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	157						
24	24	70	70	2.0	1/4	1/4	Chord	3/4	2	2	1/2	1/2	1	158						
