mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
5	4	15	15	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	54								9	
5	4	31/2	31/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	55								9	
5	4	16	16	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	56								9	
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	57								9	
6	5	17	17	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	58								8	
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	59									
6	5	39/2	39/2	0.0	5/8	5/8	Spanner	4/4	1	1	0													2
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	60								10	2
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	61								10	2
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	62								10	2
6	5	18	18	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	63									2
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	64									
6	5	18	18	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	65									
6	5	17	17	4.0	0	0	Chord	4/4	2	2	1		1	1	66									
7	6	21	21	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	67								10	2
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	68									2
7	6	22	22	0.0	1/4	1/4	Spanner	4/4	1	1	0													
7	6	22	22	1.5	1/4	1/4	Chord	4/4	1	1	3/8		1/4	3/2	69								11	
7	6	47/2	47/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	70								11	
7	6	24	24	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	71								11	
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	72								11	
7	6	22	22	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	73									
7	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	74									
7	6	22	22	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	75									
7	6	22	22	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	76									
7	6	22	22	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	77									
7	6	22	22	3.0	1/4	1/4	Chord	4/4	2	2	3/4		1/2	3/2	78									
8	7	25	25	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	79								11	
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	80								11	
8	7	26	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	81								11	
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	82								11	
8	7	27	27	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	83								11	
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	84								11	
8	7	25	25	1.5	0	0	Chord	4/4	1	2	3/8		1/4	3/2	85									
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	86									
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	87								12	
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	88								12	
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	89								12	
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	90								12	
8	7	25	25	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	91									
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	92									
8	7	27	27	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	93									
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	94								13	
8	7	25	25	1.5	0	0	Chord	4/4	2	2	3/8		1/4	3/2	95									
9	8	29	29	0.0	0	0	StaffText	4/4	1	1	0						"<i><font size=""12""/>rit.</i>"						11	
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	96								11	
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	97								11	
9	8	31	31	0.0	1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/8	1	98									
9	8	31	31	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	99									
9	8	29	29	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	100									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	101									
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	102								14	
9	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	103								13	
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	104								13	
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	105								13	
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	106								13	
9	8	31	31	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	107								15	
9	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	108								15	
9	8	32	32	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	109								15	
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	110								15	
9	8	29	29	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	111									
10	9	33	33	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	112									
10	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	113									
10	9	71/2	71/2	0.0	5/8	5/8	Spanner	4/4	1	1	0													3
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	114								16	3
10	9	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	115								16	3
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	116								16	3
10	9	34	34	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	117								14	3
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	118									
10	9	34	34	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	119									
10	9	33	33	4.0	0	0	Chord	4/4	2	2	1		1	1	120									
11	10	37	37	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	121								16	3
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	122									3
11	10	38	38	0.0	1/4	1/4	Spanner	4/4	1	1	0													
11	10	38	38	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	123									
11	10	40	40	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	124								17	
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	125								17	
11	10	37	37	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	126									
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	127									
11	10	38	38	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	128									
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	129									
11	10	38	38	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	130									
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	131									
11	10	39	39	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	132									
11	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	133									
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	134									
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	135									
11	10	38	38	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	136									
11	10	40	40	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	137									
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	138									
11	10	39	39	2.0	1/2	1/2	Chord	4/4	2	3	1/2		1/2	1	139									
12	11	41	41	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	140								17	
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	141								17	
12	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	142								17	
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	143								17	
12	11	43	43	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	144								17	
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	145								17	
12	11	41	41	1.5	0	0	Chord	4/4	1	2	3/8		1/4	3/2	146									
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	147								18	
12	11	43	43	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	148								18	
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	149									
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	150									
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	151									
12	11	41	41	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	152									
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	153									
12	11	43	43	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	154									
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	155									
12	11	41	41	1.5	0	0	Chord	4/4	2	2	3/8		1/4	3/2	156									
13	12	45	45	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	157								17	
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	158								17	
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	159									
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	160								19	
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	161									
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	162									
13	12	45	45	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	163									
13	12	91/2	91/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	164									
13	12	46	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	165									
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	166									
13	12	47	47	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	167									
13	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	168									
13	12	48	48	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	169									
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	170									
13	12	45	45	1.5	0	0	Chord	4/4	2	2	3/8		1/4	3/2	171									
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	172								20	
13	12	47	47	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	173								20	
13	12	95/2	95/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	174								20	
13	12	48	48	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	175								20	
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	176								20	
14	13	49	49	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	177								19	
14	13	51	51	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	178									
14	13	103/2	103/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	179								21	
14	13	52	52	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	180								21	
14	13	105/2	105/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	181								21	
14	13	50	50	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	182									
14	13	49	49	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	183									
14	13	50	50	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	184									
15	14	53	53	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	185								21	
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	186									
15	14	54	54	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	187									
15	14	56	56	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	188								22	
15	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	189								22	
15	14	53	53	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	190									
15	14	54	54	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	191									
15	14	107/2	107/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	192									
15	14	54	54	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	193									
15	14	109/2	109/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	194									
15	14	55	55	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	195									
15	14	111/2	111/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	196									
15	14	56	56	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	197									
15	14	54	54	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	198									
15	14	56	56	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	199									
15	14	113/2	113/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	200									
15	14	55	55	2.0	1/2	1/2	Chord	4/4	2	3	1/2		1/2	1	201									
16	15	57	57	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	202								22	
16	15	115/2	115/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	203								22	
16	15	58	58	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	204								22	
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	205								22	
16	15	59	59	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	206								22	
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	207								22	
16	15	57	57	1.5	0	0	Chord	4/4	1	2	3/8		1/4	3/2	208									
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	209								23	
16	15	59	59	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	210								23	
16	15	119/2	119/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	211									
16	15	60	60	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	212								24	
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	213								24	
16	15	57	57	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	214									
16	15	117/2	117/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	215									
16	15	59	59	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	216									
16	15	121/2	121/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	217									
16	15	57	57	1.5	0	0	Chord	4/4	2	2	3/8		1/4	3/2	218									
17	16	61	61	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	219								22	
17	16	125/2	125/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	220								22	
17	16	63	63	0.0	1/2	1/2	StaffText	4/4	1	1	0						ritard.							
17	16	63	63	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	221									
17	16	64	64	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	222									
17	16	125/2	125/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	223									
17	16	63	63	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	224									
17	16	64	64	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	225									
17	16	61	61	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	226									
17	16	123/2	123/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	227									
17	16	62	62	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	228									
17	16	125/2	125/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	229									
17	16	63	63	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	230									
17	16	64	64	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	231									
17	16	129/2	129/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	232									
17	16	61	61	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	233									
17	16	63	63	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	234									
17	16	127/2	127/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	235									
18	17	65	65	0.0	0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	236								25	
18	17	65	65	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	237								25	
18	17	67	67	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	238									
18	17	135/2	135/2	0.0	5/8	5/8	Spanner	4/4	1	1	0													4
18	17	135/2	135/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	239								26	4
18	17	68	68	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	240								26	4
18	17	137/2	137/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	241								26	4
18	17	66	66	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	242									4
18	17	65	65	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	243									
18	17	66	66	3.0	1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	244									
18	17	65	65	4.0	0	0	Chord	4/4	2	2	1		1	1	245									
19	18	69	69	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	246								26	4
19	18	139/2	139/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	247									4
19	18	70	70	0.0	1/4	1/4	Spanner	4/4	1	1	0													
19	18	70	70	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	248									
19	18	72	72	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	249								27	
19	18	145/2	145/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	250								27	
19	18	70	70	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	251									
19	18	69	69	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	252									
19	18	70	70	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	253									
19	18	72	72	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	254								28	
19	18	145/2	145/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	255								28	
19	18	69	69	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	256									
19	18	70	70	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	257									
19	18	70	70	0.0	1/4	1/4	Chord	4/4	2	2	0	grace16	1/16	1	258									
19	18	70	70	3.0	1/4	1/4	Chord	4/4	2	2	3/4		1/2	3/2	259									
20	19	73	73	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	260								27	
20	19	147/2	147/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	261									
20	19	74	74	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	262								29	
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	263								29	
20	19	75	75	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	264								29	
20	19	151/2	151/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	265									
20	19	76	76	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	266								30	
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	267								30	
20	19	73	73	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	268									
20	19	74	74	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	269									
20	19	76	76	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	270									
20	19	73	73	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	271									
20	19	74	74	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	272								31	
20	19	149/2	149/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	273								31	
20	19	75	75	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	274									
20	19	76	76	0.0	3/4	3/4	Spanner	4/4	2	1	0													5
20	19	76	76	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	275								32	5
20	19	153/2	153/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	276								32	5
20	19	73	73	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	277									5
20	19	74	74	2.0	1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	278									5
21	20	77	77	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	279								30	
